Address,City,State,Zip,County
"43 New Scotland Ave","Albany","NY","12208","Albany County"
"1000 El Camino Real","Atherton","CA","94027","San Mateo County"
"Shelby Center for Science and Technology, 301 Sparkman Dr NW","Huntsville","AL","35899","Madison County"
"Avenida de Diego","San Juan","PR","927","San Juan Municipality"
"620 Michigan Ave NE","Washington","DC","20064","District of Columbia"
"601 University Dr","San Marcos","TX","78666","Hays County"
"1910 W University Dr","Boise","ID","83725","Ada County"
"1 Forestry Dr","Syracuse","NY","13210","Onondaga County"
"1001 E Wooster St","Bowling Green","OH","43403","Wood County"
"800 N State College Blvd","Fullerton","CA","92831","Orange County"
"100 E Queen St","Hampton","VA","23669","Hampton City"
"18111 Nordhoff St","Northridge","CA","91330","Los Angeles County"
"1 Washington Sq","San Jose","CA","95192","Santa Clara County"
"1903 W Michigan Ave","Kalamazoo","MI","49008","Kalamazoo County"
"307 N University Blvd","Mobile","AL","36688","Mobile County"
"Sayles Hill Campus Center, North College Street","Northfield","MN","55057","Rice County"
"1115 8th Ave","Grinnell","IA","50112","Poweshiek County"
"880 Main St","Williamstown","MA","1267","Berkshire County"
"1250 Bellflower Blvd","Long Beach","CA","90840","Los Angeles County"
"8 Clarkson Ave","Potsdam","NY","13699","St. Lawrence County"
"1073 N Benson Rd","Fairfield","CT","6824","Fairfield County"
"414 E Clark St","Vermillion","SD","57069","Clay County"
"1049 University Dr","Duluth","MN","55812","St. Louis County"
"118 College Dr","Hattiesburg","MS","39406","Forrest County"
"55 Lexington Ave","New York","NY","10010","New York County"
"3601 4th St","Lubbock","TX","79430","Lubbock County"
"3300 S University Dr","Fort Lauderdale","FL","33328","Broward County"
"2130 Fulton St","San Francisco","CA","94117","San Francisco County"
"2000 W University Ave","Muncie","IN","47306","Delaware County"
"1200 S Franklin St","Mt Pleasant","MI","48859","Isabella County"
"100 N University St","Normal","IL","61761","McLean County"
"2800 S University Dr","Fort Worth","TX","76109","Tarrant County"
"800 S Tucker Dr","Tulsa","OK","74104","Tulsa County"
"1 Normal Ave","Montclair","NJ","7043","Essex County"
"1 E Jackson Blvd","Chicago","IL","60604","Cook County"
"65-30 Kissena Blvd","Flushing","NY","11367","Queens County"
"800 W University Pkwy","Orem","UT","84058","Utah County"
"825 Fairfax Ave","Norfolk","VA","23507","Norfolk City"
"1 Trinity Pl","San Antonio","TX","78212","Bexar County"
"61 S Sandusky St","Delaware","OH","43015","Delaware County"
"30 Cooper Sq","New York","NY","10003","New York County"
"150 E 10th St","Claremont","CA","91711","Los Angeles County"
